150	200	75	50	45	60	35
350	350	300	350	200	350	350
450	400	600	500	650	500	500
800	850	1000	850	825	850	750
1200	1500	1200	1200	1200	1200	1200
1750	2200	1900	1900	1900	1900	1900
1900	2800	2800	2300	2300	2300	2300
2100	2750	2750	2900	2900	2900	2900
2900	2900	2900	2800	2800	2800	2800
2850	2850	2850	2750	2750	2750	2750
2800	2800	2800	2900	2900	2900	2900
2925	2925	2925	2850	2800	2850	2850
2850	2850	2850	2800	2925	2800	2800
2950	2950	2950	2925	2900	2925	2925
3000	3000	3000	2850	2800	2850	2850
2950	2950	2950	2950	2750	2950	2950
2850	2850	2850	3000	2900	3000	3000
2800	2800	2800	2950	2850	2950	2950
2925	2925	2925	2850	2950	2850	2850
2850	2850	2850	2800	3000	2800	2800
2950	2950	2950	2925	2950	2925	2925
3000	3000	3000	2850	2850	2850	2850
2950	2950	2950	2950	2800	2950	2950
2800	2800	2800	3000	2925	3000	3000
2925	2925	2925	2950	2850	2950	2950
2900	2900	2900	2800	2900	2800	2800
2800	2800	2800	2925	2925	2925	2925
2750	2750	2750	2900	3000	2900	2900
2900	2900	2900	2800	2800	2800	2800
2850	2850	2850	2750	2750	2750	2750
2950	2950	2950	2900	2900	2900	2900
3000	3000	3000	2850	2850	2850	2850
2950	2950	2950	2950	2950	2950	2950
2850	2850	2850	3000	3000	3000	3000
2800	2800	2800	2950	2950	2950	2950
2925	2925	2925	2850	2850	2850	2850
2850	2850	2850	2800	2800	2800	2800
2950	2950	2950	2925	2925	2925	2925
3000	3000	3000	2850	2800	2850	2850
2950	2950	2950	2950	2925	2950	2950
2800	2800	2800	3000	2900	3000	3000
2925	2925	2925	2950	2800	2950	2950
2900	2900	2900	2800	2750	2800	2800
2800	2800	2800	2925	2900	2925	2925
2750	2750	2750	2900	2850	2900	2900
2900	2900	2900	2800	2950	2800	2800
3000	3000	3000	2750	3000	2750	2750
2950	2950	2950	2900	2950	2900	2900
2800	2800	2800	3000	2850	3000	3000
2925	2925	2925	2950	2800	2950	2950
2900	2900	2900	2800	2925	2800	2800
2800	2800	2800	2925	2850	2925	2925
2750	2750	2750	2900	2900	2900	2900
2900	2900	2900	2800	2925	2800	2800
3000	3000	3000	2750	3000	2750	2750
2950	2950	2950	2900	2900	2900	2900
2800	2800	2800	3000	3000	3000	3000
3000	3000	3000	2925	2925	2925	2925
3000	3000	3000	2900	2900	2900	2900
3000	3000	3000	2800	2800	2800	2800
2850	2850	2850	2750	2750	2750	2750
2950	2150	2950	2900	2900	2900	2900
3000	2400	3000	2850	2850	2850	2850
2950	2450	2950	2800	2800	2800	2800
2850	2500	2850	2925	2925	2925	2925
2800	2450	2800	2850	2850	2850	2850
2925	2350	2925	2950	2950	2950	2950
2850	2300	2850	2900	2900	2900	2900
2950	2425	2950	2750	2750	2750	2750
3000	2350	3000	2900	2900	2900	2900
2950	2400	2950	2850	2850	2850	2850
2800	2425	2800	2950	2950	2950	2950
2925	2500	2925	3000	3000	3000	3000
2900	2300	2900	2900	2900	2900	2900
2800	2425	2800	2925	2925	2925	2925
2750	2400	2800	3000	3000	3000	3000
2150	2300	2925	2800	2800	2800	2800
2400	2250	2900	2925	2925	2925	2925
2450	2400	2800	2900	2900	2900	2900
2500	2350	2750	2800	2800	2800	2800
2450	2300	2900	2750	2750	2750	2750
2350	2425	2850	2900	2900	2900	2900
2300	2350	2800	2850	2850	2850	2850
2425	2450	2925	2800	2800	2800	2800
2350	2500	2850	2925	2925	2925	2925
2400	2450	2950	2850	2850	2850	2850
2425	2350	3000	2950	2950	2950	2950
2500	2300	2950	3000	3000	3000	3000
2300	2425	2850	2950	2800	2950	2950
2425	2350	2800	2850	2925	2850	2850
2400	2450	2925	2800	2900	2800	2800
2300	2450	2850	2925	2800	2925	2925
2250	2300	2950	2850	2750	2850	2850
2400	2425	3000	2950	2900	2950	2950
2350	2400	2950	3000	2850	3000	3000
2300	2300	2800	2950	2950	2950	2950
2425	2250	2925	2800	3000	2800	2800
2350	2400	2900	2925	2950	2925	2925
2450	2350	2800	2900	2850	2900	2900
2500	2450	2750	2800	2800	2800	2800
2450	2500	2900	2750	2925	2750	2750
2350	2400	2850	2900	2850	2900	2900
2300	2425	2950	2850	2900	2850	2850
2425	2500	3000	2950	2925	2950	2950
2350	2300	2850	3000	3000	3000	3000
2450	2425	2950	2950	2950	2950	2950
2450	2400	2950	2850	2850	2850	2850
2300	2300	2800	2800	2800	2800	2800
2425	2250	2925	2925	2925	2925	2925
2400	2400	2900	2850	2850	2850	2850
2300	2350	2800	2950	2950	2950	2950
2250	2300	2750	3000	3000	3000	3000
2400	2425	2900	2950	2950	2950	2950
2350	2350	2850	2800	2800	2800	2800
2450	2450	2950	2925	2925	2925	2925
2500	2500	3000	2900	2900	2900	2900
2400	2450	2900	2800	2800	2800	2800
2425	2350	2925	2750	2750	2750	2750
2500	2300	3000	2900	2900	2900	2900
2300	2425	2800	3000	3000	3000	3000
2425	2350	2925	2950	2950	2950	2950
2400	2450	2900	2800	2800	2800	2800
2300	2500	2800	2925	2925	2925	2925
2250	2450	2750	2900	2900	2900	2900
2400	2300	2900	2800	2800	2800	2800
2350	2425	2850	2750	2750	2750	2750
2300	2400	2800	2900	2900	2900	2900
2425	2300	2925	3000	3000	3000	3000
2350	2250	2850	2950	2950	2950	2950
2450	2400	2950	2800	2800	2800	2800
2500	2350	3000	3000	3000	3000	3000
2450	2450	2950	3000	3000	3000	3000
