FECHA;HORA;VOLTAJE (VAC);CORRIENTE  (A);POTENCIA (W);TEMPERATURA (°C);VELOCIDAD MECANICA (RPM);VIBRACIONES EJE X;NORMAL ;REVISION ;MANTENIMIENTO ;FALLA
27/2/2021;15:00:00;95;1,4;133;33,5;3190;250;;1;;
27/2/2021;15:00:01;95;1,3;123,5;33,1;3185;249;;1;;
27/2/2021;15:00:02;95;1,2;114;32,3;3195;247;;1;;
27/2/2021;15:00:03;95;1,4;133;32,7;3200;245;;1;;
27/2/2021;15:00:04;95;1,3;123,5;32,8;3225;255;;1;;
27/2/2021;15:00:05;95;1,4;133;32,3;3195;265;;1;;
27/2/2021;15:00:06;95;1,3;123,5;32,7;3185;245;;1;;
27/2/2021;15:00:06;95;1,4;133;32,8;3200;274;;1;;
27/2/2021;15:00:07;95;1,2;114;32,3;3195;239;;1;;
27/2/2021;15:00:08;95;1,4;133;32,7;3190;246;;1;;
27/2/2021;15:00:09;95;1,3;123,5;32,8;3200;247;;1;;
27/2/2021;15:00:10;95;1,2;114;32,5;3225;250;;1;;
27/2/2021;15:00:11;95;1,3;123,5;33,1;3190;249;;1;;
27/2/2021;15:00:12;95;1,3;123,5;32,1;3185;247;;1;;
27/2/2021;15:00:13;95;1,4;133;32,7;3195;245;;1;;
27/2/2021;15:00:14;95;1,2;114;33,5;3200;255;;1;;
27/2/2021;15:00:15;95;1,4;133;33,1;3225;265;;1;;
27/2/2021;15:00:16;95;1,2;114;32,3;3195;245;;1;;
27/2/2021;15:00:17;95;1,4;133;32,7;3185;274;;1;;
27/2/2021;15:00:18;95;1,3;123,5;32,8;3200;239;;1;;
27/2/2021;15:00:19;95;1,2;114;32,3;3195;246;;1;;
27/2/2021;15:00:20;95;1,3;123,5;32,7;3190;247;;1;;
27/2/2021;15:00:21;95;1,1;104,5;32,8;3200;250;;1;;
27/2/2021;15:00:22;95;1,4;133;32,3;3225;249;;1;;
27/2/2021;15:00:23;95;1,2;114;32,7;2900;247;;1;;
27/2/2021;15:00:24;95;1,4;133;32,8;2950;245;;1;;
27/2/2021;15:00:25;95;1,3;123,5;32,5;3000;255;;1;;
27/2/2021;15:00:26;95;1,2;114;33,1;3125;265;;1;;
27/2/2021;15:00:27;95;1,3;123,5;32,1;3000;245;;1;;
27/2/2021;15:00:28;95;1,3;123,5;32,8;3100;274;;1;;
27/2/2021;15:00:29;95;1,4;133;32,3;2950;239;;1;;
27/2/2021;15:00:30;95;1,2;114;32,7;3200;246;;1;;
27/2/2021;15:00:31;95;1,3;123,5;32,8;3190;247;;1;;
27/2/2021;15:00:32;95;1,4;133;32,5;3185;250;;1;;
27/2/2021;15:00:33;95;1,3;123,5;33,1;3195;249;;1;;
27/2/2021;15:00:34;95;1,4;133;32,1;3200;247;;1;;
27/2/2021;15:00:35;95;1,2;114;32,9;3225;245;;1;;
27/2/2021;15:00:36;95;1,4;133;31,9;3195;255;;1;;
27/2/2021;15:00:37;95;1,3;123,5;32,5;3185;265;;1;;
27/2/2021;15:00:38;95;1,2;114;33,1;3200;245;;1;;
27/2/2021;15:00:39;95;1,3;123,5;32,1;3195;274;;1;;
27/2/2021;15:00:40;95;1,3;123,5;32,7;3190;250;;1;;
27/2/2021;15:00:41;95;1,4;133;33,5;3200;249;;1;;
27/2/2021;15:00:42;95;1,2;114;33,1;3225;247;;1;;
27/2/2021;15:00:43;95;1,4;133;32,3;3190;245;;1;;
27/2/2021;15:00:44;95;1,2;114;32,7;3185;255;;1;;
27/2/2021;15:00:45;95;1,4;133;32,8;3195;265;;1;;
27/2/2021;15:00:46;95;1,3;123,5;32,3;3200;245;;1;;
27/2/2021;15:00:47;95;1,2;114;32,7;3225;274;;1;;
27/2/2021;15:00:48;95;1,3;123,5;32,8;3195;239;;1;;
27/2/2021;15:00:49;95;1,2;114;32,3;3185;246;;1;;
27/2/2021;15:00:50;95;1,4;133;32,7;3200;247;;1;;
27/2/2021;15:00:51;95;1,3;123,5;32,8;3195;250;;1;;
27/2/2021;15:00:52;95;1,2;114;32,5;3190;249;;1;;
27/2/2021;15:00:53;95;1,4;133;33,1;3200;247;;1;;
27/2/2021;15:00:54;95;1,3;123,5;32,1;3225;245;;1;;
27/2/2021;15:00:55;95;1,4;133;32,5;2900;255;;1;;
27/2/2021;15:00:56;95;1,3;123,5;33,1;2950;265;;1;;
27/2/2021;15:00:57;95;1,4;133;32,1;3000;245;;1;;
27/2/2021;15:00:58;95;1,2;114;32,1;3125;274;;1;;
27/2/2021;15:00:59;95;1,4;133;32,7;3000;239;;1;;
27/2/2021;15:01:00;95;1,3;123,5;32,3;3100;246;;1;;
27/2/2021;15:01:01;95;1,2;114;31,7;2950;247;;1;;
27/2/2021;15:01:02;95;1,3;123,5;31,8;3190;250;;1;;
27/2/2021;15:01:03;95;1,3;123,5;31,9;3185;249;;1;;
27/2/2021;15:01:04;95;1,4;133;32,5;3195;247;;1;;
27/2/2021;15:01:05;95;1,2;114;32,7;3200;245;;1;;
27/2/2021;15:01:06;95;1,4;133;33,5;3225;255;;1;;
27/2/2021;15:01:07;95;1,2;114;33,1;3195;265;;1;;
27/2/2021;15:01:08;95;1,4;133;32,3;3200;245;;1;;
27/2/2021;15:01:09;95;1,3;123,5;32,7;3195;274;;1;;
27/2/2021;15:01:10;95;1,2;114;32,8;3190;239;;1;;
27/2/2021;15:01:11;95;1,3;123,5;32,3;3185;246;;1;;
27/2/2021;15:01:12;95;1,1;104,5;32,7;3195;247;;1;;
27/2/2021;15:01:13;95;1,4;133;32,8;3200;250;;1;;
27/2/2021;15:01:14;95;1,2;114;32,3;3225;249;;1;;
27/2/2021;15:01:15;95;1,4;133;32,7;3195;247;;1;;
27/2/2021;15:01:16;95;1,3;123,5;32,8;3185;245;;1;;
27/2/2021;15:01:17;95;1,2;114;32,5;3200;255;;1;;
27/2/2021;15:01:18;95;1,3;123,5;33,1;3195;265;;1;;
27/2/2021;15:01:19;95;1,3;123,5;32,1;3190;245;;1;;
27/2/2021;15:01:20;95;1,4;133;32,9;3200;274;;1;;
27/2/2021;15:01:21;95;1,2;114;31,9;3225;221;;1;;
27/2/2021;15:01:22;95;1,3;123,5;32,5;3195;225;;1;;
27/2/2021;15:01:23;95;1,4;133;33,1;3185;250;;1;;
27/2/2021;15:01:24;95;1,3;123,5;32,1;3200;249;;1;;
27/2/2021;15:01:25;95;1,4;133;33,1;3200;247;;1;;
27/2/2021;15:01:26;95;1,2;114;33,5;3250;245;;1;;
27/2/2021;15:01:27;95;1,4;133;33,1;3200;255;;1;;
27/2/2021;15:01:28;95;1,3;123,5;32,3;3225;265;;1;;
27/2/2021;15:01:29;95;1,3;123,5;32,7;3195;245;;1;;
27/2/2021;15:01:30;95;1,2;114;32,8;3185;274;;1;;
27/2/2021;15:01:31;95;1,4;133;32,3;3190;239;;1;;
27/2/2021;15:01:32;95;1,3;123,5;32,7;3185;246;;1;;
27/2/2021;15:01:33;95;1,2;114;32,8;3195;247;;1;;
27/2/2021;15:01:34;95;1,4;133;32,3;3200;250;;1;;
27/2/2021;15:01:35;95;1,3;123,5;32,7;3225;249;;1;;
27/2/2021;15:01:36;95;1,4;133;32,8;3195;247;;1;;
27/2/2021;15:01:37;95;1,3;123,5;32,5;3185;245;;1;;
27/2/2021;15:01:38;95;1,4;133;33,1;3200;255;;1;;
27/2/2021;15:01:39;95;1,2;114;32,1;3195;265;;1;;
27/2/2021;15:01:40;95;1,4;133;33,1;3190;245;;1;;
27/2/2021;15:01:41;95;1,3;123,5;32,1;3200;274;;1;;
27/2/2021;15:01:42;95;1,2;114;33,1;3225;239;;1;;
27/2/2021;15:01:43;95;1,3;123,5;33,5;3190;246;;1;;
27/2/2021;15:01:44;95;1,3;123,5;33,1;3185;247;;1;;
27/2/2021;15:01:45;95;1,4;133;32,3;3195;250;;1;;
27/2/2021;15:01:46;95;1,2;114;32,7;3200;249;;1;;
27/2/2021;15:01:47;95;1,4;133;32,8;3225;247;;1;;
27/2/2021;15:01:48;95;1,2;114;32,3;3195;245;;1;;
27/2/2021;15:01:49;95;1,4;133;32,7;3185;255;;1;;
